code,vectorization_text
8B93,irritation of or injury to a spinal nerve root as from being compressed that typically causes pain numbness or muscle weakness in the part of the body which is supplied with nerves from that root a pinched nerve of the cervical thoracic or lumbar region of the spinal column
8E40.3,inflammation of the arachnoid membrane
8A01.21,the abnormal swinging jerking movements sometimes seen in chorea
8A44,any of several inherited diseases as adrenoleukodystrophy characterized by progressive degeneration of myelin in the brain spinal cord and peripheral nerves
8A01.20,chorea affecting only one lateral half of the body
8A44.1,a rare demyelinating disease of the central nervous system that is inherited as an x linked recessive trait chiefly affecting males in childhood and that is characterized by progressive blindness deafness tonic spasms and mental deterioration abbreviation ald called also encephalitis periaxialis diffusa schilder s disease schilder s encephalitis
8B42,any disease or disorder of the spinal cord or bone marrow
9A02.0,a small circumscribed tumor of the eyelid formed by retention of secretions of the meibomian gland and sometimes accompanied by inflammation
9D00.5,a defect of binocular vision in which the two retinal images of an object differ in size
9A03.0,a drooping or abnormal relaxation of the upper eyelid
9D00.0,a condition in which the visual images come to a focus in front of the retina of the eye because of defects in the refractive media of the eye or of abnormal length of the eyeball resulting especially in defective vision of distant objects called also nearsightedness
9A11.6,a concretion formed in a lacrimal passage
9A60.4,inflammation of the eyelid and conjunctiva
9A78.50,cone shaped protrusion of the cornea
9B50,inflammation of the superficial layers of the sclera
9D00.4,unequal refractive power in the two eyes
9B73.1,degenerative splitting of the retina into separate layers
9C80.4,latent strabismus in which one eye tends to deviate either medially or laterally
9D00.3,a visual condition which becomes apparent especially in middle age and in which loss of elasticity of the lens of the eye causes defective accommodation and inability to focus sharply for near vision
9A61.0,a small yellowish elevation situated near the inner or outer margins of the cornea and occurring especially in people of advanced age
9C21,inflammation as from infection by a fungus of the genus candida that affects the interior of the eyeball
9A80,a hemorrhage in the anterior chamber of the eye
9B51,inflammation of the sclera
9C40.A0,swelling and protrusion of the blind spot of the eye caused by edema called also choked disk
9B10.22,a clouding of the lens capsule as from the deposit of fibrous matter or overgrowth of epithelial cells that sometimes occurs following an operation for cataract removal
9C40.2,inflammation of the optic nerve and the retina
9A11.2,inflammation of the lacrimal sac
9A03.4,pathological incomplete closure of the eyelids inability to close the eyelids fully
